Unit,Product,BALANCE,Country,Time,Value
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,2-Jan,246
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,2-Feb,262
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,2-Mar,246
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,2-Apr,250
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,2-May,252
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,2-Jun,259
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,2-Jul,258
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,2-Aug,255
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,2-Sep,267
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,2-Oct,250
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,2-Nov,268
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,2-Dec,263
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,3-Jan,260
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,3-Feb,263
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,3-Mar,257
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,3-Apr,255
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,3-May,258
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,3-Jun,274
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,3-Jul,264
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,3-Aug,277
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,3-Sep,263
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,3-Oct,271
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,3-Nov,276
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,3-Dec,270
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,4-Jan,273
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,4-Feb,279
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,4-Mar,272
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,4-Apr,275
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,4-May,282
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,4-Jun,277
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,4-Jul,285
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,4-Aug,275
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,4-Sep,289
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,4-Oct,282
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,4-Nov,292
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,4-Dec,286
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,5-Jan,296
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,5-Feb,283
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,5-Mar,296
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,5-Apr,298
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,5-May,296
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,5-Jun,305
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,5-Jul,297
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,5-Aug,299
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,5-Sep,303
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,5-Oct,308
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,5-Nov,299
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,5-Dec,296
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,6-Jan,303
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,6-Feb,310
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,6-Mar,310
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,6-Apr,298
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,6-May,315
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,6-Jun,321
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,6-Jul,314
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,6-Aug,319
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,6-Sep,327
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,6-Oct,326
Thousand Barrels per day (kb/d),Motor and aviation gasoline,Demand,Saudi Arabia,6-Nov,322
